county,state,season,title,latitude,longitude,date,number,classification,geohash,temperature_high,temperature_mid,temperature_low,dew_point,humidity,cloud_cover,moon_phase,precip_intensity,precip_probability,precip_type,pressure,summary,conditions,uv_index,visibility,wind_bearing,wind_speed
Washington County,Ohio,Fall,Report 26830: Group finds possible Bigfoot track in Wayne National Forest - w/photos of track and cast,39.42635,-81.37085,10/31/2009,26830,Class B,dpn0k37e1u,69,56.8,48.8,48.8,76.3,81.6,0.43,0.489,100,['rain'],1011.4,Partly cloudy throughout the day with rain in the morning and afternoon.,"Rain, Partially cloudy",,8.6,207.2,18.3
York County,Pennsylvania,Summer,,,,,3572,Class B,,,,,,,,,,,,,,,,,,
Washington County,Rhode Island,Summer,Report 6643: Mother and son see sasquatch closeup from road,41.432,-71.65183,7/15/1978,6643,Class A,drm59w2wzk,71,67.2,65,63.1,86.7,100,0.35,0.546,100,['rain'],1014.7,Cloudy skies throughout the day with a chance of rain throughout the day.,"Rain, Overcast",,6.9,178.9,13.9
Washington County,Rhode Island,Fall,Report 16746: Possible stick formation found by hiker in the Great Swamp,41.4596,-71.58906,11/3/2006,16746,Class B,drm5fgqrtv,45.8,36.6,29.7,24,62.3,21.9,0.44,0,0,,1022.7,Partly cloudy throughout the day.,Partially cloudy,,9.9,318.9,7.7
York County,South Carolina,Summer,Report 74674: TODAY: Wood knocks reported by professional forester 19 miles southwest of Charlotte NC,35.0591,-81.11742,7/5/2022,74674,Class B,dnnr6nk451,91.8,79.4,71.6,72.2,80.9,49.1,0.22,0.297,100,['rain'],1017.9,Partly cloudy throughout the day with late afternoon rain.,"Rain, Partially cloudy",8,6.4,216,14.2
Wilson County,Tennessee,Winter,,,,,882,Class B,,,,,,,,,,,,,,,,,,
Wilson County,Tennessee,Fall,Report 24799: Hunter hears loud uknown vocalizations near Greenvale,35.9978,-86.2011,10/27/2008,24799,Class B,dn6sy3nq2u,56.7,47.5,40.2,23,38.5,56.1,0.96,0,0,,1025.9,Becoming cloudy in the afternoon.,Partially cloudy,,9.9,281.7,20.8
Wilson County,Tennessee,Summer,Report 28005: Two witnesses recount a close daytime encounter with a very curious creature near Lebanon,36.25466,-86.15759,7/16/2010,28005,Class A,dn6wprvyww,96.5,83.7,74.5,73.3,73.5,46.5,0.17,0.105,100,['rain'],1015.3,Partly cloudy throughout the day with late afternoon rain.,"Rain, Partially cloudy",,9.7,193,11.4
Wilson County,Tennessee,Fall,,,,,30863,Class A,,,,,,,,,,,,,,,,,,
Wood County,Texas,Winter,Report 8376: Hog hunter encounters unknown animal near Sabine River.,32.69028,-95.61056,3/25/2004,8376,Class A,9vu1br4d8m,80,69.1,61.1,61.3,77.6,94.6,0.15,0,0,,1021.6,Cloudy skies throughout the day.,Overcast,,8.7,157.2,18.3
Wood County,Texas,Spring,"Report 14638: Woman describes husband's daytime sighting on ranch near Quitman, TX.",32.85232,-95.46671,2/1/2006,14638,Class A,9vu4gse68k,66,59.1,53.3,50.4,74,51.7,0.11,0.091,100,['rain'],1008.7,Partly cloudy throughout the day with late afternoon rain.,"Rain, Partially cloudy",,9.2,154,10
Weber County,Utah,Spring,Report 9962: Daylight sighting off Highway 89 in the Wasatch Mountains.,41.5,-111.75,5/1/1962,9962,Class A,9x2s14f5h2,66,59.1,53.3,50.4,74,51.7,0.11,0.091,100,['rain'],1008.7,Partly cloudy throughout the day with late afternoon rain.,"Rain, Partially cloudy",,9.2,154,10
Weber County,Utah,Fall,,,,,2347,Class A,,,,,,,,,,,,,,,,,,
Weber County,Utah,Fall,,,,,5929,Class B,,,,,,,,,,,,,,,,,,
Weber County,Utah,Fall,,,,,5813,Class A,,,,,,,,,,,,,,,,,,
Weber County,Utah,Fall,,,,,2349,Class B,,,,,,,,,,,,,,,,,,
Weber County,Utah,Fall,Report 21613: Grandson relates grandparents' accounts in the Wasatch-Cache National Forest,41.41125,-111.5833,8/31/2007,21613,Class B,9x2esfew08,85.4,76.8,69.1,47.8,36.8,33.5,0.62,0,0,,1013.5,Partly cloudy throughout the day.,Partially cloudy,,9.9,224.8,11
Wythe County,Virginia,Fall,Report 15107: Possible vocalizations heard by a farmer near Max Meadows,37.00085,-80.8797,10/23/2003,15107,Class B,dnw6rxc1w6,52.6,44.3,36.7,31.4,61.2,66.3,0.94,0,0,,1009.9,Partly cloudy throughout the day.,Partially cloudy,,9.9,288.5,14.6
Wythe County,Virginia,Summer,Report 35981: Possible encounter behind a fish hatchery near Fort Chiswell,36.932,-80.89,6/10/2011,35981,Class B,dnw6p738qr,85.1,71.8,62.6,63.2,76.2,9.3,0.31,0,0,,,Clear conditions throughout the day.,Clear,9,9.3,309.9,9.8
Wythe County,Virginia,Spring,Report 62744: Couple saw a juvenile Bigfoot jumping a fence.,37.0048,-81.11751,4/10/2019,62744,Class A,dnw6d0s094,70.3,58.2,44.2,35.5,44.1,8.2,0.19,0,0,,1011.1,Clear conditions throughout the day.,Clear,8,9.9,310.5,11
Windsor County,Vermont,Spring,Report 49902: Possible footprints found by a hiker on Mt. Ascutney,43.43623,-72.43684,5/24/2015,49902,Class B,drsrpem47k,80.7,60.7,37.3,35.3,45.2,11.3,0.21,0,0,,1022.6,Clear conditions throughout the day.,Clear,,9.9,259.3,15.5
Yakima County,Washington,Fall,Report 1689: A tall black creature covered with hair and very muscular was seen walking quickly across a clearing,46.24639,-120.8681,10/15/1941,1689,Class A,c24p1dfs9p,80.7,60.7,37.3,35.3,45.2,11.3,0.21,0,0,,1022.6,Clear conditions throughout the day.,Clear,,9.9,259.3,15.5
Yakima County,Washington,Summer,Report 1686: Woman sees bigfoot on two occasions along the same road,46.71444,-120.6694,8/30/1996,1686,Class A,c261y055r4,82.1,67.8,53.9,49,55.5,0,0.57,0,0,,1012.1,Clear conditions throughout the day.,Clear,,9.9,282.8,18.3
Yakima County,Washington,Fall,Report 1690: Hunters hear unusual animal stalking them at night.,46.5602,-121.1458,11/1/1996,1690,Class B,c23bgk02f6,51.2,34.4,23.1,26.6,75.8,0,0.7,0,0,,1029.8,Clear conditions throughout the day.,Clear,,8.5,280.5,8.1
Yakima County,Washington,Summer,Report 1462: Sound heard month earlier than another report in same area,46.87139,-121.2981,6/13/2000,1462,Class B,c23dxu9mtk,61.2,53.5,44.3,45,73.5,46.3,0.39,0.123,100,['rain'],1024.2,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",,6.6,277.2,14.9
Yakima County,Washington,Summer,Report 382: Campers hear screams and wood knocking near Bumping Lake,46.8733,-121.3051,7/21/2000,382,Class B,c23dxth2f2,86.2,70.1,55.9,54.4,62.2,0,0.68,0,0,,1013.3,Clear conditions throughout the day.,Clear,,8.9,258.9,14.1
Yakima County,Washington,Summer,Report 2268: Three campers near Bumping Lake hear vocalizations from Nelson Ridge,46.82167,-121.2764,7/25/2000,2268,Class B,c23f2795zp,73.8,63.6,55.2,50.6,64.3,17.5,0.82,0,0,,1013.8,Clear conditions throughout the day.,Clear,,9.5,284,33.3
Yakima County,Washington,Winter,Report 1438: Barefoot tracks and whistling heard while hunting,46.93333,-121.2692,10/28/2000,1438,Class B,c23fbryqqy,48.2,42,37.8,35.9,80.2,74.5,0.05,0.15,100,['rain'],1000.2,Partly cloudy throughout the day with rain clearing later.,"Rain, Partially cloudy",,8.2,133.2,9.5
Yakima County,Washington,Summer,Report 3038: Evening sighting by motorist near Glenwood,46.0722,-121.3055,6/11/2001,3038,Class A,c21wpehn0b,62,56,50.1,45.7,68.8,77.8,0.69,0.012,100,['rain'],1014.1,Partly cloudy throughout the day with late afternoon rain.,"Rain, Partially cloudy",,9.3,292.7,20.8
Yakima County,Washington,Fall,Report 3759: Elk hunters encounter large animal and hear vocalizations near Rimrock Lake,46.621,-121.0638,10/29/2001,3759,Class B,c23cjph50b,45.1,38.5,30.7,30.1,71.9,86.3,0.42,0,0,,1022.1,Partly cloudy throughout the day.,Partially cloudy,,9.8,235,7.2
Yakima County,Washington,Summer,Report 6347: Daylight sighting by residents near Yakima River,46.4984,-120.4474,7/21/2003,6347,Class A,c262e0ubu4,95.1,77.1,54.5,50.4,43.4,0.1,0.75,0,0,,1016.2,Clear conditions throughout the day.,Clear,,10,282.2,7.9
Yakima County,Washington,Fall,"Report 7117: Hunter sees bigfoot cross road behind him west of Nile, WA",46.80505,-121.0909,11/7/2003,7117,Class A,c23fk8871t,35,27.5,16.3,16.6,64.3,67.5,0.46,0,0,,1023.6,Partly cloudy throughout the day.,Partially cloudy,,9.8,8.7,8.8
Yakima County,Washington,Summer,Report 11702: Campers hear scream and witness rock throwing at Twin Sister Lakes,46.74778,-121.3603,7/8/2005,11702,Class B,c239yqhjs1,67.1,59.9,53.2,48.4,66.4,61.3,0.08,0.278,100,['rain'],1011.1,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",,7.7,267.3,10.4
Yakima County,Washington,Summer,Report 26065: California BFRO researcher has sighting with a thermal imaging unit in Wenatchee National Forest,46.85,-121.25,8/18/2007,26065,Class A,c23f8bu3n0,68.9,58.8,49.2,43.9,59.8,25.5,0.19,0.014,100,['rain'],1010.7,Partly cloudy throughout the day with late afternoon rain.,"Rain, Partially cloudy",,8.1,270.8,14.8
Yakima County,Washington,Fall,Report 25999: Hunter reports hearing loud wood knocking NW of Tieton,46.52485,-121.2957,10/5/2008,25999,Class B,c238xve4vk,61.1,50.8,37.1,38.2,64.9,41.3,0.21,0,0,,1012.3,Partly cloudy throughout the day.,Partially cloudy,,9.9,234.4,13.9
Yakima County,Washington,Summer,,,,,26447,Class B,,,,,,,,,,,,,,,,,,
Yakima County,Washington,Summer,,,,,30526,Class B,,,,,,,,,,,,,,,,,,
Yakima County,Washington,Spring,Report 45360: Campers sleeping inside their tent hear clacking and are touched near Bumping Lake,46.85524,-121.3034,6/8/2014,45360,Class B,c23dx9tx9c,72.8,64.1,55.7,43.5,48.3,23,0.36,0,0,,1018.8,Partly cloudy throughout the day.,Partially cloudy,,9.9,306.9,16
Yakima County,Washington,Summer,"Report 46546: Mother and son, while backpacking, experience a possible night-time camp approach near Natches",46.73581,-121.3201,9/15/2014,46546,Class B,c239z7cruf,85.4,61.9,41.8,37.3,46.5,0,0.75,0,0,,1013.6,Clear conditions throughout the day.,Clear,8,9.9,300.6,9
Yakima County,Washington,Winter,"Report 62332: Morning snowmobilers hear howls, tree knocks, branch break 8mi south of Rimrock Lake",46.51122,-121.2719,12/31/2018,62332,Class B,c23b87h7rz,41.5,30.9,21.7,19.8,65.2,9.9,0.82,0,0,,1030.9,Clear conditions throughout the day.,Clear,4,9.9,317.3,9.2
Yakima County,Washington,Summer,Report 63077: Camper hears Ohio howls at 4-5am near Rimrock Lake.,46.64558,-121.2323,6/22/2019,63077,Class B,c23c37964w,76.5,64.2,50.3,43.7,49.2,13.5,0.68,0,0,,1018.4,Clear conditions throughout the day.,Clear,10,9.4,301.1,18.6
Wood County,Wisconsin,Winter,Report 34240: Passenger sees a large figure moving between buildings in Biron,44.42315,-89.7793,2/18/2012,34240,Class B,dpbhtnbxwe,33.2,26.4,17.6,14.8,62.9,25.2,0.89,0.017,100,"['rain', 'snow']",1022.9,Partly cloudy throughout the day with early morning snow or rain.,"Snow, Rain, Partially cloudy",,9.7,330.9,12.2
Wood County,Wisconsin,Winter,Report 38662: Hikers make a vocalization and hear possible return vocalizations outside Biron,44.4308,-89.7715,12/19/2012,38662,Class B,dpbhv0qkhm,32.9,28.8,20.7,24.2,83,99.8,0.25,0,0,,1016.2,Cloudy skies throughout the day.,Overcast,,7.9,203.8,5.8
Wyoming County,West Virginia,Fall,,,,,74981,Class A,,,,,,,,,,,,,,,,,,
Wayne County,New York,Fall,"Report 26566: Man observes tall, white hair-covered creature during a family gathering near Lake Ontario",43.27314,-76.89331,9/20/2003,26566,Class A,dr9q4m8h21,68.1,62.9,50.1,53.1,71.8,47.3,0.82,0.041,100,['rain'],1021,Partly cloudy throughout the day with a chance of rain throughout the day.,"Rain, Partially cloudy",,9.9,259.4,15.7
Warren County,New York,Spring,,,,,2405,Class A,,,,,,,,,,,,,,,,,,
Ulster County,New York,Winter,,,,,8064,Class A,,,,,,,,,,,,,,,,,,
Tioga County,New York,Winter,Report 7890: Two hunters experience vocalizations and encounter very large unknown animal,42.40489,-76.17366,1/1/2001,7890,Class B,dr9c4xs43h,20.3,16,7.8,10.7,79.4,62.6,0.23,0.001,100,['snow'],1022.2,Partly cloudy throughout the day with morning snow.,"Snow, Partially cloudy",,6.5,309.5,15.7
St. Lawrence County,New York,Fall,,,,,25631,Class A,,,,,,,,,,,,,,,,,,
Schuyler County,New York,Fall,Report 1450: Motorists and firefighters observe a sasquatch darting across Rt. 224 SE of Odessa,42.32724,-76.75318,9/13/1999,1450,Class A,dr92v3qn13,76.4,65.6,49.2,52.6,65.5,35.1,0.12,0.011,100,['rain'],1019.3,Partly cloudy throughout the day with afternoon rain.,"Rain, Partially cloudy",,9.9,184.5,19.9
Rockland County,New York,Winter,,,,,5022,Class B,,,,,,,,,,,,,,,,,,
Rensselaer County,New York,Summer,,,,,5685,Class A,,,,,,,,,,,,,,,,,,
Putnam County,New York,Summer,Report 11841: Two young boys see crouching animal,41.5036,-73.7171,8/21/1980,11841,Class A,dr7s4e2zgp,70.7,66.6,62.9,58,74.2,91.3,0.35,0.001,100,['rain'],1017,Cloudy skies throughout the day with late afternoon rain.,"Rain, Overcast",,10.8,20.4,16.2
Otsego County,New York,Summer,Report 13874: Old sighting (1973) and recent vocalizations (2005/06) on the outskirts of Maryland (town),42.56379,-74.8865,8/1/1973,13874,Class A,drddput241,81.8,76.3,74,66.1,71,98.7,0.09,,0,,1012.7,Cloudy skies throughout the day.,Overcast,,3.8,121.8,11.4
Oswego County,New York,Winter,,,,,3614,Class B,,,,,,,,,,,,,,,,,,
Orleans County,New York,Spring,"Report 11089: Two young boys experience powerful, high-pitched vocalization",43.26886,-78.28014,5/1/1992,11089,Class B,dr8q4sy5ks,54.7,47.9,43.3,42.4,81.3,93.3,0.97,0.075,100,['rain'],1015.8,Cloudy skies throughout the day with rain.,"Rain, Overcast",,12.2,102.3,12
Orange County,New York,Summer,,,,,2144,Class B,,,,,,,,,,,,,,,,,,
Ontario County,New York,Fall,Report 7368: Morning sighting by deer hunter near Naples,42.6153,-77.4028,10/7/2006,7368,Class A,dr8fqtvh05,63.7,47.5,37.9,36.6,71.3,13.7,0.52,0,0,,1031.1,Clear conditions throughout the day.,Clear,,8.5,125,5
Ontario County,New York,Fall,Report 68896: Two hunters hear definite sasquatch wood knock on West River 2 miles SW of Middlesex,42.67993,-77.29334,10/15/2020,68896,Class B,dr94c1sswe,76.6,62.7,52,44.1,53,38.5,0.96,0.118,100,['rain'],1009.8,Becoming cloudy in the afternoon with late afternoon rain.,"Rain, Partially cloudy",1,9.7,217.4,16.6
Orange County,New York,Fall,Report 63832: Motorist sighting in Harriman State Park not far from Appalachian Trail,41.26455,-74.1468,9/14/1994,63832,Class A,dr768xzzqm,77.1,73.2,67.4,64.2,73.8,91.8,0.32,0.002,100,['rain'],1014.7,Cloudy skies throughout the day with afternoon rain.,"Rain, Overcast",,6.3,269.3,10.4
Orleans County,New York,Summer,,,,,4799,Class B,,,,,,,,,,,,,,,,,,
Orleans County,New York,Spring,Report 18122: Morning sighting by motorist at railroad crossing near Median,43.22649,-78.3253,4/15/1997,18122,Class A,dr8mctjk81,54.7,42.3,29,25.8,55.5,16.2,0.27,0,0,,1024.8,Clear conditions throughout the day.,Clear,,13.2,225.6,17
Orleans County,New York,Summer,"Report 7939: Powerful vocalizations heard near town of Albion, NY",43.2265,-78.1946,8/22/2002,7939,Class B,dr8muthktg,81.3,72,65.2,65.9,81.3,83.1,0.5,0.171,100,['rain'],1016.1,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",,8.3,230.6,18.2
Orleans County,New York,Winter,Report 11688: Husband and wife see animal near garbage dump,43.34806,-78.23962,1/15/2003,11688,Class A,dr8qee78u8,21,14.9,11.4,7.2,71.4,91.5,0.41,0.021,100,['snow'],1018.8,Cloudy skies throughout the day with snow.,"Snow, Overcast",,9,252.4,23.6
Oswego County,New York,Fall,,,,,5326,Class A,,,,,,,,,,,,,,,,,,
Otsego County,New York,Summer,,,,,1597,Class B,,,,,,,,,,,,,,,,,,
Otsego County,New York,Spring,Report 12388: Women sees tall animal pass by her bedroom window in morning daylight (8:00 AM).,42.32921,-75.3811,5/31/2004,12388,Class A,drd2u9v1t0,56,51.1,47,45.3,81.7,63.8,0.42,0.438,100,['rain'],1008.4,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",,8.1,112.3,15
Putnam County,New York,Summer,"Report 15144: Possible red eyeshine in woods near Garrison, New York",41.38084,-73.91649,9/20/2004,15144,Class B,dr77mvpsug,70.3,55.9,41.6,44.9,68.4,9.1,0.22,0.008,100,['rain'],1026.8,Clear conditions throughout the day with afternoon rain.,Rain,,9.9,1.1,11.3
Putnam County,New York,Spring,Report 65469: Knocks heard from Great Croton Swamp south of Pawling,41.49887,-73.59659,5/17/2020,65469,Class B,dr7sj68s7n,67.5,59.2,51.7,45.4,61.3,66.2,0.83,0,0,,1024.2,Partly cloudy throughout the day.,Partially cloudy,9,9.9,149.6,9.5
Rensselaer County,New York,Winter,,,,,4508,Class B,,,,,,,,,,,,,,,,,,
Rensselaer County,New York,Winter,,,,,8187,Class B,,,,,,,,,,,,,,,,,,
Rockland County,New York,Fall,,,,,5703,Class B,,,,,,,,,,,,,,,,,,
Rockland County,New York,Summer,Report 28105: Two fishermen frightened after dark on Lake Kanawauke,41.23296,-74.11488,8/6/2015,28105,Class B,dr7696ppqh,79.9,69.2,56.5,53.9,60.3,7.8,0.75,0,0,,1014.4,Clear conditions throughout the day.,Clear,,9.9,292.5,9.1
St. Lawrence County,New York,Spring,Report 25661: Wood knocks heard and tracks found near Canton,44.62185,-75.58825,3/18/2009,25661,Class B,drfjzgnm45,56.7,48.4,39.3,33.2,57.5,65.2,0.75,0.01,100,['rain'],1013.5,Partly cloudy throughout the day with rain in the morning and afternoon.,"Rain, Partially cloudy",,10.5,222.7,12.5
Steuben County,New York,Spring,Report 13662: Daylight sighting near a railroad bed and the Canisteo River,42.28045,-77.60525,4/21/1980,13662,Class A,dr8bd0ct6x,65,51.7,33.2,27.5,47.7,13.7,0.25,0,0,,1015.8,Clear conditions throughout the day.,Clear,,16,311.5,22.8
Steuben County,New York,Fall,,,,,2630,Class A,,,,,,,,,,,,,,,,,,
Steuben County,New York,Summer,,,,,4643,Class B,,,,,,,,,,,,,,,,,,
Steuben County,New York,Fall,,,,,5515,Class B,,,,,,,,,,,,,,,,,,
Steuben County,New York,Fall,Report 19836: Campers describe incidents over 3-4 hours with unseen animal near their camp outside Prattsburgh,42.54346,-77.36516,11/9/2003,19836,Class B,dr8fp8b3t5,39,28.3,19.5,18.6,69.1,3.6,0.52,0,0,,1039.3,Clear conditions throughout the day.,Clear,,9.9,180.1,8.5
Steuben County,New York,Fall,Report 68932: Resident observes a sasquatch near homes at 2-3am on the outskirts of Bath,42.33473,-77.29253,11/15/2012,68932,Class A,dr90c4v39t,45.5,31.7,24.1,24.9,77.9,5.5,0.06,0,0,,1029.9,Clear conditions throughout the day.,Clear,,9.1,21.4,4
Steuben County,New York,Spring,Report 74487: Turkey hunter observes a sasquatch in daylight 2 miles SW of Erwin,42.13954,-77.15908,5/17/2022,74487,Class A,dr3pspq2x5,63.9,55.8,47.3,43.1,65.4,75.4,0.55,0,0,,1009.9,Partly cloudy throughout the day.,Partially cloudy,9,9.6,278.5,19.1
Tioga County,New York,Fall,Report 10136: Close roadside observation of female upright animal along country road,42.1174,-75.64853,10/22/2001,10136,Class A,dr6pwe4rtk,55.1,50.1,46.1,44.9,82.9,74.8,0.19,0.091,100,['rain'],1019.1,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",,9.1,339.3,8.1
Ulster County,New York,Spring,Report 7514: Video footage shot at dusk shows a primate in a tree in the background.,41.66955,-74.0863,5/23/1997,7514,Class B,dr7m41sn8p,67.2,58.4,46.9,37.8,47.1,43.7,0.55,0,0,,1018.4,Partly cloudy throughout the day.,Partially cloudy,,25.5,328.3,16.6
Ulster County,New York,Summer,,,,,59664,Class B,,,,,,,,,,,,,,,,,,
Warren County,New York,Fall,,,,,3298,Class A,,,,,,,,,,,,,,,,,,
Warren County,New York,Summer,,,,,1598,Class B,,,,,,,,,,,,,,,,,,
Warren County,New York,Summer,,,,,1599,Class B,,,,,,,,,,,,,,,,,,
Warren County,New York,Spring,,,,,2557,Class B,,,,,,,,,,,,,,,,,,
Warren County,New York,Summer,"Report 20363: Campers describe a possible approach to a camp near Lake George, Adirondacks",43.7268,-73.52,8/15/2001,20363,Class B,drg8z00r5f,80,65.6,50.1,51.9,65.6,6.1,0.88,,0,,1017.3,Clear conditions throughout the day.,Clear,,9.6,169.3,8.1
Warren County,New York,Spring,Report 15565: Possible vocalizaitons heard approx. two miles from Sabbath Day Point,43.6678,-73.51238,5/11/2002,15565,Class B,drg8rjmzm7,64.1,50,36.1,28.8,46.9,3.9,0.97,,0,,1027.4,Clear conditions throughout the day.,Clear,,9.9,318.8,23.4
Warren County,New York,Summer,,,,,6233,Class B,,,,,,,,,,,,,,,,,,
Warren County,New York,Spring,Report 15566: Possible vocalizations heard near Sabbath Day Point,43.66344,-73.56614,3/31/2006,15566,Class B,drg8muwvbx,73,52.7,26.7,32.5,51.9,2,0.07,0,0,,1018.5,Clear conditions throughout the day.,Clear,,9.7,183,15.4
Warren County,New York,Summer,Report 16540: Possible stalking of hikers on Prospect Mt. near Lake George,43.42645,-73.741,11/26/2006,16540,Class B,drex1cx3qj,52.2,37.6,23.6,31.3,79.4,38.4,0.21,0,0,,1026.4,Becoming cloudy in the afternoon.,Partially cloudy,,9.5,179.7,8.7
Warren County,New York,Summer,Report 21488: Female hiker describes rocks being thrown at her and female companion near Sabbath Day Point,43.64706,-75.57448,8/18/2007,21488,Class B,drf2238qdc,68,58.7,49.6,47.4,68.7,37,0.18,0.075,100,['rain'],1023.1,Partly cloudy throughout the day with rain clearing later.,"Rain, Partially cloudy",,9.9,298.9,15.5
Warren County,New York,Summer,Report 26338: Possible vocalizations heard by campers In Lake Luzerne area,43.32,-73.81,7/26/2009,26338,Class B,drew2qjjq3,78.9,72.6,66.9,67,83.3,56,0.15,0.064,100,['rain'],1010.4,Clearing in the afternoon with rain clearing later.,"Rain, Partially cloudy",,6.2,185.4,13.9
Warren County,New York,Summer,Report 59838: Motorist sighting at night approx 2 miles from NY/VT state line outside Whitehall,43.55915,-73.34116,8/7/2018,59838,Class A,drezg1dw7n,84.7,74.7,68.1,70.1,86.3,35.3,0.87,0.371,100,['rain'],1013.9,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",3,8.8,175.2,8.1
Washington County,New York,Winter,,,,,2704,Class A,,,,,,,,,,,,,,,,,,
Washington County,New York,Winter,,,,,1601,Class A,,,,,,,,,,,,,,,,,,
Washington County,New York,Fall,Report 15398: Possible tracks & smell noticed by hunter at Black Mountain outside Whitehall,43.56211,-73.45947,11/1/1999,15398,Class B,drezb6hrwm,63.4,49.5,34.3,39.3,70.2,3.1,0.77,,0,,1023,Clear conditions throughout the day.,Clear,,11.1,147.3,12.8
Washington County,New York,Summer,,,,,1603,Class B,,,,,,,,,,,,,,,,,,
Washington County,New York,Summer,,,,,70,Class B,,,,,,,,,,,,,,,,,,
Washington County,New York,Fall,,,,,9723,Class B,,,,,,,,,,,,,,,,,,
